cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Mural	organic_ED_vs_normal	ZFAS1	down_in_ED	-0.979672809880756	7.73007171805642	0.0003889175639718	0.0515996377999656	3	5	8.214312676802097	7.266395473470418	-0.947917203331679	5	1.0	5	N1__Mural:8.334;N2__Mural:8.172;N3__Mural:8.137	DMED1__Mural:7.478;DMED2__Mural:7.431;ED1__Mural:7.004;ED2__Mural:7.346;ED3__Mural:7.073
Mural	organic_ED_vs_normal	TGFBI	down_in_ED	-1.74411052205715	7.12981432171654	0.000396504033974	0.0519567137851951	3	5	7.8022366543609385	6.1466631847378626	-1.655573469623076	5	1.0	5	N1__Mural:8.469;N2__Mural:7.417;N3__Mural:7.520	DMED1__Mural:6.026;DMED2__Mural:6.840;ED1__Mural:5.494;ED2__Mural:6.109;ED3__Mural:6.265
Mural	organic_ED_vs_normal	CSPG4	up_in_ED	1.52927259736179	5.63530462365074	0.0004103920095246	0.0531207413304251	3	5	4.425819928200721	5.920583869803533	1.4947639416028116	5	1.0	5	N1__Mural:3.843;N2__Mural:4.902;N3__Mural:4.532	DMED1__Mural:6.662;DMED2__Mural:6.103;ED1__Mural:5.460;ED2__Mural:5.771;ED3__Mural:5.607
Mural	organic_ED_vs_normal	ACTN1	up_in_ED	1.22649902256234	8.32275845460826	0.000425522352153	0.0539887636254778	3	5	7.403191680080699	8.619460014247746	1.2162683341670473	5	1.0	5	N1__Mural:7.381;N2__Mural:7.386;N3__Mural:7.442	DMED1__Mural:8.427;DMED2__Mural:9.121;ED1__Mural:8.611;ED2__Mural:8.628;ED3__Mural:8.311
Mural	organic_ED_vs_normal	LAYN	down_in_ED	-1.10957026791179	4.60436335446265	0.0004272711649274	0.0539887636254778	3	5	5.16965004286319	4.068163581549831	-1.1014864613133595	5	1.0	5	N1__Mural:5.034;N2__Mural:4.972;N3__Mural:5.503	DMED1__Mural:4.283;DMED2__Mural:4.031;ED1__Mural:3.485;ED2__Mural:4.121;ED3__Mural:4.420
Mural	organic_ED_vs_normal	PROCR	down_in_ED	-2.1701210029957	6.59849260292274	0.0004386826698969	0.0547785630386612	3	5	7.244175135036733	5.346641388564899	-1.8975337464718338	5	1.0	5	N1__Mural:8.328;N2__Mural:6.676;N3__Mural:6.728	DMED1__Mural:5.678;DMED2__Mural:5.240;ED1__Mural:5.666;ED2__Mural:4.690;ED3__Mural:5.459
Mural	organic_ED_vs_normal	ABCC9	down_in_ED	-1.88788664781916	5.54520930688123	0.0004485518542716	0.0553596439679019	3	5	6.375145647110279	4.449849716677622	-1.9252959304326573	5	1.0	5	N1__Mural:5.834;N2__Mural:7.010;N3__Mural:6.282	DMED1__Mural:3.898;DMED2__Mural:3.649;ED1__Mural:5.494;ED2__Mural:4.755;ED3__Mural:4.453
Mural	organic_ED_vs_normal	C1orf21	down_in_ED	-1.19489082894098	5.45223780158235	0.000467160538625	0.0565982779045117	3	5	6.063927082279854	4.820959596210196	-1.2429674860696576	5	1.0	5	N1__Mural:5.815;N2__Mural:6.140;N3__Mural:6.236	DMED1__Mural:5.031;DMED2__Mural:4.398;ED1__Mural:5.239;ED2__Mural:4.218;ED3__Mural:5.220
Mural	organic_ED_vs_normal	EPB41L2	down_in_ED	-0.814460272071061	6.57103887078485	0.000469252728057	0.0565982779045117	3	5	6.99725602855971	6.200936682017165	-0.7963193465425453	5	1.0	5	N1__Mural:6.782;N2__Mural:7.090;N3__Mural:7.120	DMED1__Mural:5.959;DMED2__Mural:6.279;ED1__Mural:5.898;ED2__Mural:6.443;ED3__Mural:6.425
Mural	organic_ED_vs_normal	APOL6	down_in_ED	-1.277618149943	4.64513202533818	0.0004881070214391	0.0582108755680377	3	5	5.251903820420646	4.048088640841106	-1.2038151795795393	5	1.0	5	N1__Mural:5.613;N2__Mural:4.866;N3__Mural:5.276	DMED1__Mural:4.170;DMED2__Mural:3.706;ED1__Mural:4.399;ED2__Mural:3.907;ED3__Mural:4.059
Mural	organic_ED_vs_normal	ARHGAP15	down_in_ED	-2.35420568028309	4.40548023473803	0.0005021939000504	0.0592254006126165	3	5	5.096230806457349	3.1797567421090394	-1.9164740643483098	5	1.0	5	N1__Mural:6.346;N2__Mural:4.235;N3__Mural:4.708	DMED1__Mural:2.833;DMED2__Mural:3.114;ED1__Mural:3.614;ED2__Mural:3.351;ED3__Mural:2.987
Mural	organic_ED_vs_normal	ANK3	down_in_ED	-2.49322885885677	2.13142999569974	0.0005215619714977	0.0604075005923091	3	5	3.3063110900424264	0.9300445795871974	-2.376266510455229	5	1.0	5	N1__Mural:3.512;N2__Mural:2.650;N3__Mural:3.757	DMED1__Mural:-0.308;DMED2__Mural:-0.042;ED1__Mural:1.229;ED2__Mural:2.071;ED3__Mural:1.700
